Período;"IPMP
(dic-01=100)";"IPMP
Agropecuario
(dic-01=100)";"IPMP
Metales
(dic-01=100)";"IPMP
Petróleo
(dic-01=100)"
ago-20;198.2;163.8;390.0;235.7
sep-20;210.0;175.7;385.0;219.3
oct-20;224.5;189.8;382.8;215.7
nov-20;237.5;201.8;383.5;229.8
dic-20;247.4;209.6;391.3;267.0
ene-21;270.6;231.1;393.7;290.9
feb-21;278.3;237.6;386.9;331.4
mar-21;281.2;240.4;377.6;350.1
abr-21;292.1;250.5;387.8;345.9
may-21;317.4;273.1;413.4;362.9
jun-21;309.4;264.7;410.9;390.4
jul-21;295.5;251.3;407.1;398.5
ago-21;290.6;247.8;398.2;373.8
sep-21;276.8;234.2;393.2;398.3
oct-21;279.2;235.2;394.2;446.2
nov-21;289.5;246.0;382.5;428.9
dic-21;295.3;252.3;386.0;395.1
ene-22;310.3;264.1;402.4;455.8
feb-22;330.5;281.1;417.3;513.0
mar-22;367.6;312.4;442.6;620.8
abr-22;371.6;318.7;434.5;565.8
may-22;372.5;319.8;406.2;602.7
jun-22;365.6;312.3;395.1;641.7
jul-22;337.7;288.6;368.2;584.3
ago-22;340.7;293.6;371.8;526.5
sep-22;331.1;287.2;351.9;482.7
oct-22;327.2;282.8;348.3;496.6
nov-22;330.2;285.4;362.1;487.3
dic-22;321.2;278.4;377.1;432.6
ene-23;327.7;283.2;396.7;444.8
feb-23;325.9;282.1;387.4;441.6
mar-23;313.7;270.8;394.0;419.5
abr-23;311.0;265.7;406.0;447.8
may-23;291.7;249.9;398.7;393.2
jun-23;297.8;257.0;391.1;387.5
jul-23;308.1;265.7;391.3;413.7
ago-23;298.3;253.7;385.5;446.8
sep-23;291.4;243.8;388.2;485.9
oct-23;285.3;238.3;388.6;473.1
nov-23;287.4;242.7;399.5;431.4
dic-23;279.8;236.1;409.0;405.4
ene-24;267.5;222.0;408.8;416.1
feb-24;262.0;215.0;405.4;433.4
mar-24;262.0;212.8;425.4;443.2
abr-24;264.2;211.1;461.3;467.6
may-24;271.1;221.5;466.9;424.8
jun-24;268.0;218.4;459.7;428.1
jul-24;262.3;210.9;463.4;442.8
ago-24;249.2;198.8;472.6;418.8
sep-24;250.3;202.1;489.9;385.2
oct-24;256.6;206.7;515.0;393.9
